id,osm_id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,train,wkt
23156782-0,23156782,250197412,299276434,223.7291243458356,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-80.5265360 43.4678015, -80.5266715 43.4678133, -80.5269568 43.4678497, -80.5270688 43.4678714, -80.5271801 43.4679018, -80.5273473 43.4679552, -80.5274259 43.4679759, -80.5275075 43.4679861, -80.5275895 43.4679934, -80.5277003 43.4679851, -80.5278176 43.4679667, -80.5279362 43.4679374, -80.5280941 43.4678839, -80.5282238 43.4678227, -80.5283440 43.4677510, -80.5284779 43.4676564, -80.5286835 43.4674893, -80.5287454 43.4674459, -80.5288155 43.4674065, -80.5288928 43.4673673, -80.5289559 43.4673441)"
23156782-1,23156782,299276434,1710899895,3.1290920044544324,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-80.5289559 43.4673441, -80.5289916 43.4673332)"
23156782-2,23156782,1710899895,1710899886,16.286827983861144,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-80.5289916 43.4673332, -80.5291807 43.4672825)"
23156782-3,23156782,1710899886,250633030,46.80122857328661,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-80.5291807 43.4672825, -80.5293352 43.4672192, -80.5294757 43.4671479, -80.5296546 43.4670425)"
23200737-0,23200737,6669001241,1674820210,62.968651712908695,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-80.5395887 43.4634173, -80.5394081 43.4635300, -80.5393036 43.4635829, -80.5392123 43.4636126, -80.5391209 43.4636328, -80.5389987 43.4636437, -80.5389054 43.4636569)"
23200737-1,23200737,1674820210,1710899534,29.33872659728773,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-80.5389054 43.4636569, -80.5387939 43.4636885, -80.5387184 43.4637239, -80.5386514 43.4637593, -80.5386044 43.4637976)"
23200737-2,23200737,1710899534,1674820237,120.92903307483206,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-80.5386044 43.4637976, -80.5385685 43.4638363, -80.5385072 43.4639160, -80.5384562 43.4640122, -80.5383908 43.4641829, -80.5383542 43.4642579, -80.5383057 43.4643368, -80.5382565 43.4644047, -80.5381988 43.4644676, -80.5381254 43.4645347, -80.5380370 43.4646056, -80.5379436 43.4646575, -80.5378467 43.4647020)"
23200737-3,23200737,1674820237,1710899566,45.385089281344825,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-80.5378467 43.4647020, -80.5377428 43.4647317, -80.5376284 43.4647475, -80.5372955 43.4647633)"
23200737-4,23200737,1710899566,1788009627,179.0620961531422,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-80.5372955 43.4647633, -80.5372756 43.4647642, -80.5370575 43.4647708, -80.5368439 43.4647876, -80.5366398 43.4648289, -80.5364428 43.4648912, -80.5362755 43.4649523, -80.5361347 43.4650228, -80.5360157 43.4651039, -80.5359500 43.4651540, -80.5358965 43.4652131, -80.5355861 43.4656044)"
23200737-5,23200737,1788009627,1551395309,15.588182978502818,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-80.5355861 43.4656044, -80.5355227 43.4656843, -80.5354964 43.4657059, -80.5354790 43.4657201)"
23200737-6,23200737,1551395309,250931942,20.232026448395168,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-80.5354790 43.4657201, -80.5354014 43.4657771, -80.5352990 43.4658464)"
23200737-7,23200737,250931942,250931943,31.891131239349455,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-80.5352990 43.4658464, -80.5351051 43.4659164, -80.5349436 43.4659710)"
23200738-0,23200738,250931944,4744233788,43.95007579957036,Allowed,Tertiary,Tertiary,Allowed,Allowed,Forbidden,"LINESTRING(-80.5390720 43.4625443, -80.5390001 43.4626399, -80.5389760 43.4626727, -80.5389610 43.4626826, -80.5388935 43.4627322, -80.5387185 43.4628364)"
